90,56,30,2,2160
295,21,29,6,1080
532,61,21,9,240
619,24,11,2,240
619,24,37,10,2160
780,21,49,10,480
900,11,30,8,1080
985,2,7,4,480
1091,32,28,10,2160
1193,48,7,8,2160
1308,14,13,8,720
1387,9,41,4,2160
1525,7,3,7,1080
1750,65,18,6,2160
2278,41,0,5,2160
2281,64,49,10,2160
2318,1,31,9,720
2322,10,50,6,2160
2332,37,14,7,1080
2449,1,28,8,240
2554,0,14,6,240
2743,55,35,7,2160
2763,15,26,2,240
2858,30,43,9,1080
2953,45,0,10,1080
3140,8,9,7,720
3399,60,16,3,2160
3488,3,28,3,1080
3536,33,35,7,2160
3537,65,7,10,720
3543,23,32,8,720
3714,24,4,1,480
3725,45,0,2,2160
3855,9,20,6,1080
3888,2,45,1,480
3979,60,20,8,480
3993,10,34,3,720
4024,61,45,3,2160
4203,59,24,8,2160
4217,37,35,4,2160
4399,48,0,8,1080
4439,12,25,2,1080
4461,11,38,7,240
4591,7,26,7,240
4692,56,23,6,2160
4715,13,2,9,2160
4867,28,50,6,2160
4931,47,37,3,2160
4973,70,15,4,2160
5038,30,24,3,2160
5136,56,48,1,480
5260,28,36,5,240
5272,67,42,8,2160
5317,24,11,3,480
5394,18,2,4,2160
5506,66,32,1,1080
5634,62,33,9,720
5787,9,27,1,480
5790,34,46,4,2160
5942,62,16,7,2160
6011,16,20,9,1080
6109,12,49,4,2160
6256,41,43,1,480
6273,24,4,5,480
6332,63,29,10,1080
6402,14,41,4,2160
6409,66,2,1,2160
6682,20,26,2,2160
6710,28,14,10,720
6779,52,39,5,1080
6904,32,1,3,240
6911,62,34,7,1080
6976,30,26,3,480
7005,23,13,6,480
7018,19,20,4,240
7111,51,32,1,2160
7243,44,22,1,240
7265,70,19,5,480
7353,61,48,4,2160
7402,63,19,9,2160
7470,38,50,1,2160
7487,55,50,6,2160
7649,48,41,3,2160
7700,50,36,1,2160
7731,3,8,6,240
7751,56,14,9,480
7859,45,11,3,480
7956,30,49,2,2160
7965,33,9,1,240
8064,60,25,1,480
8077,54,48,8,240
8150,46,28,3,480
8192,10,8,10,480
8279,67,48,2,240
8384,44,26,9,480
8471,40,41,1,720
8557,12,30,3,480
8690,39,50,4,720
8700,51,10,6,480
8797,59,0,5,480
8890,8,41,4,2160
8911,10,49,3,720
9113,20,23,6,2160
9157,41,11,5,2160
9200,15,7,2,2160
9289,47,37,5,2160
9331,49,25,4,2160
9398,61,22,9,2160
9503,28,7,2,240
9530,47,27,10,240
9731,10,24,8,1080
9822,9,10,9,2160
9849,51,39,1,240
9856,41,14,4,2160
9945,14,9,3,240
10025,42,1,1,2160
10194,62,5,7,480
10411,2,30,9,240
10474,47,0,1,2160
10502,46,28,8,2160
10640,39,46,1,480
10664,8,42,7,2160
10749,8,17,6,480
10775,8,29,5,2160
10944,41,47,7,240
11049,62,21,7,480
11050,50,26,5,1080
11136,26,11,8,480
11148,64,14,2,480
11235,17,2,6,2160
11256,9,42,5,2160
11420,53,14,4,480
11438,36,24,4,720
11527,61,27,9,720
11547,45,6,2,1080
11577,21,5,7,2160
11663,66,20,7,480
11811,50,2,3,240
11818,52,30,1,240
11980,10,21,10,2160
12017,63,45,5,1080
12157,64,7,7,2160
12207,23,47,9,2160
12316,17,4,4,720
12370,28,36,9,2160
12434,3,44,3,480
12455,47,21,1,2160
12528,33,10,10,240
12715,48,31,2,720
12762,17,31,6,2160
13205,18,17,1,2160
13274,15,19,6,480
13341,57,48,8,1080
13430,30,5,8,2160
13474,49,2,1,2160
13493,6,22,3,480
13569,33,24,2,720
13575,66,8,10,2160
13611,25,29,4,1080
13640,26,37,8,2160
13669,27,27,7,720
13852,41,45,2,720
13897,15,26,6,480
14259,8,25,6,480
14322,8,21,7,2160
14330,9,34,1,2160
14350,44,41,7,240
14371,66,35,10,720
14405,58,44,1,1080
14427,9,30,3,240
14575,16,6,3,720
14582,29,19,8,1080
14616,61,44,10,720
14780,30,6,3,2160
14973,27,13,7,1080
14982,52,13,9,2160
15169,19,38,2,480
15203,48,41,10,480
15289,56,2,9,240
15366,18,8,4,2160
15448,12,30,4,2160
15468,57,12,10,2160
15661,53,50,2,2160
15729,43,20,9,480
15796,41,36,6,1080
15892,10,3,3,720
15904,60,17,5,2160
15962,27,8,2,240
15994,6,13,2,480
15997,16,14,8,1080
16033,43,37,4,2160
16122,1,17,2,2160
16178,68,6,1,2160
16539,37,6,5,2160
16618,7,34,3,240
16706,31,4,5,240
16764,67,44,8,2160
16811,6,9,10,720
16870,64,5,2,1080
16886,52,6,5,720
16892,22,9,3,2160
16980,13,38,2,1080
16998,30,12,3,480
17019,5,12,9,2160
17020,70,8,6,240
17146,64,42,8,2160
17276,55,21,4,2160
17291,19,9,8,240
17297,57,28,8,720
17304,53,13,6,480
17326,20,22,8,240
17551,17,28,3,240
17698,50,11,7,240
17773,8,18,1,720
17825,30,27,10,720
17830,45,8,4,2160
17892,0,38,7,1080
17938,34,0,4,1080
18079,35,46,9,480
18116,27,23,5,720
18326,0,43,10,2160
18474,11,18,4,240
18551,61,29,9,480
18729,60,12,8,1080
18798,29,4,1,1080
19113,5,0,7,2160
19123,54,36,3,480
19134,30,44,6,2160
19157,36,26,3,720
19161,1,11,2,480
19507,9,43,4,720
19538,8,38,5,1080
19547,10,50,1,240
19571,34,49,7,2160
19618,69,14,7,720
19666,59,0,9,720
19675,34,1,4,240
19723,58,38,10,240
19756,62,28,2,2160
19787,12,19,5,240
19890,22,39,6,480
19945,22,8,1,480
20053,15,26,1,2160
20090,29,37,9,1080
20104,29,50,6,2160
20215,21,41,1,720
20230,25,24,4,2160
20323,20,38,7,2160
20368,24,19,5,2160
20373,52,18,6,1080
20405,58,28,2,2160
20449,23,9,4,2160
20517,48,4,8,240
20548,11,10,5,2160
20558,60,40,8,480
20619,24,14,5,480
20638,48,47,5,240
20658,43,16,10,240
20684,62,35,8,480
20731,57,49,8,720
21022,61,2,8,2160
21028,46,39,8,2160
21243,69,6,2,240
21433,36,39,5,480
21661,42,9,4,1080
21678,14,26,10,480
21733,54,49,1,720
21810,23,35,7,240
